Time_stamps, X_hand,Y_hand,Z_hand,W_hand,X_gripper,Y_gripper,Z_gripper,W_gripper
39.8253,-0.3949704,0.841913342,0.03167983,0.366301537,0.5456336,0.744816065,-0.153090566,0.352273017
39.8594,-0.403285533,0.8367314,0.0168553386,0.370077461,0.5456336,0.744816065,-0.153090566,0.352273017
39.8981,-0.403812081,0.835036457,0.002630074,0.37368843,0.5456336,0.744816065,-0.153090566,0.352273017
39.9603,-0.401573539,0.838404,0.00554827461,0.368492454,0.5455553,0.7447685,-0.1532236,0.35243687
39.9957,-0.403428257,0.8382353,0.00489868829,0.366855919,0.542031765,0.739370942,-0.165962875,0.363302052
40.0292,-0.4042212,0.8404269,0.00493930932,0.36092034,0.542886853,0.7369673,-0.170653015,0.364733458
40.0934,-0.409164816,0.840529859,0.00614176458,0.355043769,0.5428976,0.73658663,-0.171431974,0.365121037
40.1264,-0.418219566,0.836339831,-0.00148497627,0.35443756,0.542,0.736275256,-0.172365069,0.366640329
40.1597,-0.4171446,0.8370195,-0.00206095,0.35409677,0.5407116,0.7364072,-0.172510237,0.368205875
40.1927,-0.417497724,0.8377778,-0.00369455642,0.351867139,0.5386606,0.7362448,-0.1734839,0.37106812
40.2403,-0.418901682,0.8375419,-0.0049997177,0.350742251,0.5358636,0.735945463,-0.1749301,0.375011951
40.2611,-0.422044,0.8374722,-0.007545576,0.347076654,0.533238947,0.7350839,-0.17740941,0.3792543
40.2940,-0.425366223,0.836545467,-0.009933386,0.345190734,0.5324211,0.734651566,-0.178497225,0.380727679
40.3277,-0.4220322,0.837879837,-0.008490746,0.346083939,0.5313318,0.7340942,-0.179897979,0.382660359
40.3833,-0.423153162,0.8373726,-0.0109540373,0.345873624,0.52948,0.7334573,-0.181637734,0.385615081
40.4268,-0.423352629,0.8374588,-0.0139454417,0.3453127,0.5274253,0.733119249,-0.182813391,0.388507366
40.4605,-0.426772922,0.8354446,-0.0190179683,0.345739067,0.52656,0.73280555,-0.18363674,0.389882267
40.5096,-0.428363383,0.8340644,-0.01857758,0.3471257,0.526256859,0.7324907,-0.1843243,0.390558153
40.5250,-0.428363383,0.8340644,-0.01857758,0.3471257,0.525361359,0.7316432,-0.186183736,0.392465562
40.5576,-0.426662028,0.835087538,-0.0153772347,0.346917748,0.524870038,0.730905652,-0.187725216,0.3937608
40.5912,-0.423756927,0.8361267,-0.012610238,0.348085046,0.5245157,0.7305076,-0.188573584,0.394565523
40.6391,-0.422677159,0.837126136,-0.0118483314,0.347020954,0.52396363,0.730159044,-0.189367384,0.3955628
40.6584,-0.4166614,0.8404079,-0.009788015,0.346427619,0.524454057,0.730323732,-0.188941762,0.394811451
40.6920,-0.414082259,0.84199363,-0.008502336,0.345702678,0.524544537,0.730562,-0.1884623,0.394479722
40.7272,-0.415591419,0.8396822,-0.00934676,0.349471331,0.5248763,0.730926037,-0.1876843,0.393734068
40.7607,-0.417883366,0.8367368,-0.0129090352,0.353664339,0.527162254,0.731073141,-0.1868716,0.3907825
40.7929,-0.418008834,0.8347567,-0.01764845,0.357964247,0.528805,0.7311408,-0.186346024,0.388681829
40.8268,-0.4185063,0.8347694,-0.0168435536,0.357391715,0.529154658,0.7314409,-0.185675353,0.387961626
40.8603,-0.42477718,0.8278866,-0.0230726581,0.3655623,0.528788269,0.73160404,-0.185447052,0.388262779
