Timestamp,Delta_ms
2025-09-30T18:19:08.9013379Z,1,01
2025-09-30T18:19:10.2922683Z,2,02
2025-09-30T18:19:10.3256357Z,0,00
2025-09-30T18:19:10.3412095Z,2,04
2025-09-30T18:19:10.3493954Z,1,01
2025-09-30T18:19:10.3595005Z,2,01
2025-09-30T18:19:10.3651637Z,4,66
2025-09-30T18:19:10.3740486Z,1,01
2025-09-30T18:19:10.3816162Z,2,01
2025-09-30T18:19:10.3980163Z,0,00
2025-09-30T18:19:10.4318157Z,1,51
2025-09-30T18:19:10.4465670Z,1,52
2025-09-30T18:19:10.4649227Z,2,14
2025-09-30T18:19:10.4784947Z,1,02
2025-09-30T18:19:10.4942211Z,1,51
2025-09-30T18:19:10.5089009Z,1,02
2025-09-30T18:19:10.5144932Z,0,54
2025-09-30T18:19:10.5196025Z,1,01
2025-09-30T18:19:10.5293040Z,1,02
2025-09-30T18:19:10.5390816Z,1,00
2025-09-30T18:19:10.5562782Z,4,58
2025-09-30T18:19:10.5797983Z,1,03
2025-09-30T18:19:10.5863893Z,1,00
2025-09-30T18:19:10.5914253Z,0,00
2025-09-30T18:19:10.5981470Z,1,01
2025-09-30T18:19:10.6042153Z,9,62
2025-09-30T18:19:10.6102687Z,0,00
2025-09-30T18:19:10.6163617Z,1,51
2025-09-30T18:19:10.6306707Z,1,02
2025-09-30T18:19:10.6354724Z,0,00
2025-09-30T18:19:10.6404819Z,1,00
2025-09-30T18:19:10.6500076Z,1,01
2025-09-30T18:19:10.6581075Z,1,52
2025-09-30T18:19:10.6631557Z,1,00
2025-09-30T18:19:10.6691900Z,1,52
2025-09-30T18:19:10.6783802Z,0,00
2025-09-30T18:19:10.6890361Z,1,52
2025-09-30T18:19:10.6940663Z,0,98
2025-09-30T18:19:10.6991039Z,1,02
2025-09-30T18:19:10.7106818Z,3,53
2025-09-30T18:19:10.7233566Z,1,01
2025-09-30T18:19:10.7339902Z,1,53
2025-09-30T18:19:10.7390237Z,3,02
2025-09-30T18:19:10.7454293Z,1,51
2025-09-30T18:19:10.7514742Z,2,01
2025-09-30T18:19:10.7612821Z,1,14
2025-09-30T18:19:10.7689282Z,1,00
2025-09-30T18:19:10.7745418Z,0,00
2025-09-30T18:19:10.7837167Z,1,01
2025-09-30T18:19:10.7902609Z,2,00
2025-09-30T18:19:10.7998985Z,1,00
2025-09-30T18:19:10.8095367Z,1,00
2025-09-30T18:19:10.8151141Z,1,56
2025-09-30T18:19:10.8206541Z,2,00
2025-09-30T18:19:10.8317059Z,1,00
2025-09-30T18:19:10.8376862Z,3,35
2025-09-30T18:19:10.8432474Z,1,51
2025-09-30T18:19:10.8488002Z,0,00
2025-09-30T18:19:10.8553543Z,1,50
2025-09-30T18:19:10.8766111Z,11,20
2025-09-30T18:19:10.8914274Z,0,00
2025-09-30T18:19:10.8985118Z,2,01
2025-09-30T18:19:10.9066775Z,1,57
2025-09-30T18:19:10.9183181Z,4,05
2025-09-30T18:19:10.9240644Z,2,55
2025-09-30T18:19:10.9324022Z,8,34
2025-09-30T18:19:10.9415027Z,0,00
2025-09-30T18:19:10.9450687Z,2,53
2025-09-30T18:19:10.9516311Z,1,00
2025-09-30T18:19:10.9614186Z,6,54
2025-09-30T18:19:10.9664568Z,1,51
2025-09-30T18:19:10.9714913Z,7,55
2025-09-30T18:19:10.9765843Z,1,00
2025-09-30T18:19:10.9816162Z,1,51
2025-09-30T18:19:10.9866673Z,2,04
2025-09-30T18:19:10.9917097Z,0,00
2025-09-30T18:19:11.0019986Z,1,00
2025-09-30T18:19:11.0100568Z,7,56
2025-09-30T18:19:11.0217336Z,5,14
2025-09-30T18:19:11.0328391Z,15,13
2025-09-30T18:19:11.0363665Z,0,00
2025-09-30T18:19:11.0414096Z,0,00
2025-09-30T18:19:11.0466666Z,2,25
2025-09-30T18:19:11.0527093Z,1,51
2025-09-30T18:19:11.0552254Z,0,51
2025-09-30T18:19:11.0663495Z,1,05
2025-09-30T18:19:11.0698807Z,1,00
2025-09-30T18:19:11.0749600Z,0,00
2025-09-30T18:19:11.0788084Z,0,00
2025-09-30T18:19:11.0828510Z,0,00
2025-09-30T18:19:11.0914035Z,0,00
2025-09-30T18:19:11.0944809Z,1,51
2025-09-30T18:19:11.1030396Z,1,51
2025-09-30T18:19:11.1124481Z,1,01
2025-09-30T18:19:11.1164793Z,1,01
2025-09-30T18:19:11.1215031Z,6,53
2025-09-30T18:19:11.1260611Z,0,51
2025-09-30T18:19:11.1305980Z,0,00
2025-09-30T18:19:11.1342614Z,1,00
2025-09-30T18:19:11.1412980Z,1,51
2025-09-30T18:19:11.1443609Z,0,00
2025-09-30T18:19:11.1488859Z,7,59
2025-09-30T18:19:11.1545144Z,1,51
2025-09-30T18:19:11.1691348Z,16,73
2025-09-30T18:19:11.1869291Z,2,51
2025-09-30T18:19:11.1914515Z,0,00
2025-09-30T18:19:11.1944167Z,1,41
2025-09-30T18:19:11.1988673Z,1,02
2025-09-30T18:19:11.2034653Z,0,00
2025-09-30T18:19:11.2105149Z,1,00
2025-09-30T18:19:11.2163919Z,1,34
2025-09-30T18:19:11.2214450Z,0,00
