Timestamp,Delta_ms
2025-09-30T18:43:39.4109737Z,49,50
2025-09-30T18:43:39.4511064Z,39,11
2025-09-30T18:43:39.4630475Z,11,45
2025-09-30T18:43:39.5014437Z,38,91
2025-09-30T18:43:39.5373510Z,36,91
2025-09-30T18:43:39.5752786Z,33,23
2025-09-30T18:43:39.6133575Z,42,23
2025-09-30T18:43:39.6348217Z,21,01
2025-09-30T18:43:39.6629720Z,28,64
2025-09-30T18:43:39.6965586Z,32,58
2025-09-30T18:43:39.7283253Z,33,28
2025-09-30T18:43:39.7961989Z,67,87
2025-09-30T18:43:39.8121951Z,14,99
2025-09-30T18:43:39.8432357Z,32,04
2025-09-30T18:43:39.8808862Z,36,13
2025-09-30T18:43:39.9096485Z,29,29
2025-09-30T18:43:39.9437575Z,34,09
2025-09-30T18:43:40.0041022Z,60,24
2025-09-30T18:43:40.0274730Z,23,47
2025-09-30T18:43:40.0616240Z,34,66
2025-09-30T18:43:40.0986748Z,36,54
2025-09-30T18:43:40.1261242Z,28,47
2025-09-30T18:43:40.1708772Z,37,06
2025-09-30T18:43:40.2108104Z,46,63
2025-09-30T18:43:40.2397572Z,28,94
2025-09-30T18:43:40.2717201Z,31,97
2025-09-30T18:43:40.3061232Z,33,89
2025-09-30T18:43:40.3545607Z,46,53
2025-09-30T18:43:40.3898734Z,37,22
2025-09-30T18:43:40.4293451Z,39,98
2025-09-30T18:43:40.4552000Z,25,86
2025-09-30T18:43:40.4939295Z,38,70
2025-09-30T18:43:40.5045286Z,11,62
2025-09-30T18:43:40.5417735Z,36,26
2025-09-30T18:43:40.5931582Z,51,38
2025-09-30T18:43:40.6249432Z,31,78
2025-09-30T18:43:40.6629871Z,37,44
2025-09-30T18:43:40.6752527Z,12,87
2025-09-30T18:43:40.7137113Z,38,89
2025-09-30T18:43:40.7242901Z,9,67
2025-09-30T18:43:40.7633762Z,38,02
2025-09-30T18:43:40.7995539Z,36,45
2025-09-30T18:43:40.8248432Z,27,56
2025-09-30T18:43:40.8608760Z,34,52
2025-09-30T18:43:40.8891324Z,29,77
2025-09-30T18:43:40.9211769Z,32,04
2025-09-30T18:43:40.9672206Z,41,96
2025-09-30T18:43:41.0299353Z,66,80
2025-09-30T18:43:41.0569170Z,25,97
2025-09-30T18:43:41.0952407Z,38,34
2025-09-30T18:43:41.1244201Z,29,16
2025-09-30T18:43:41.1658215Z,35,61
2025-09-30T18:43:41.1890077Z,28,99
2025-09-30T18:43:41.2261154Z,37,09
2025-09-30T18:43:41.2546168Z,29,52
2025-09-30T18:43:41.2888794Z,34,26
2025-09-30T18:43:41.3533536Z,62,96
2025-09-30T18:43:41.3721470Z,19,31
2025-09-30T18:43:41.4097846Z,37,62
2025-09-30T18:43:41.4229919Z,14,22
2025-09-30T18:43:41.4652228Z,37,69
2025-09-30T18:43:41.4962104Z,35,53
2025-09-30T18:43:41.5403805Z,42,70
2025-09-30T18:43:41.5632441Z,22,82
2025-09-30T18:43:41.5953403Z,33,09
2025-09-30T18:43:41.6268505Z,32,03
2025-09-30T18:43:41.6758894Z,47,55
2025-09-30T18:43:41.6917647Z,15,83
2025-09-30T18:43:41.7279669Z,36,74
2025-09-30T18:43:41.7571710Z,29,19
2025-09-30T18:43:41.7886183Z,31,47
2025-09-30T18:43:41.8412836Z,52,66
2025-09-30T18:43:41.8580736Z,16,79
2025-09-30T18:43:41.8918409Z,33,75
2025-09-30T18:43:41.9253403Z,33,01
2025-09-30T18:43:41.9713416Z,47,00
2025-09-30T18:43:42.0127599Z,39,97
2025-09-30T18:43:42.0263616Z,14,04
2025-09-30T18:43:42.0587792Z,32,91
2025-09-30T18:43:42.0896256Z,30,86
2025-09-30T18:43:42.1212736Z,32,65
2025-09-30T18:43:42.1725921Z,40,26
2025-09-30T18:43:42.1930323Z,28,97
2025-09-30T18:43:42.2218392Z,29,34
2025-09-30T18:43:42.2587581Z,37,92
2025-09-30T18:43:42.2698444Z,11,08
2025-09-30T18:43:42.3089866Z,39,12
2025-09-30T18:43:42.3535802Z,45,61
2025-09-30T18:43:42.3743524Z,19,76
2025-09-30T18:43:42.4147186Z,40,36
2025-09-30T18:43:42.4394294Z,25,73
2025-09-30T18:43:42.4731711Z,32,23
2025-09-30T18:43:42.5288281Z,57,17
2025-09-30T18:43:42.5589955Z,29,66
2025-09-30T18:43:42.5942642Z,34,77
2025-09-30T18:43:42.6246092Z,31,36
2025-09-30T18:43:42.6616662Z,35,07
2025-09-30T18:43:42.7038202Z,44,14
2025-09-30T18:43:42.7301674Z,25,35
2025-09-30T18:43:42.7584312Z,27,75
