Timestamp,Delta_ms
2025-09-30T18:30:06.6698497Z,1,00
2025-09-30T18:30:06.7342202Z,12,68
2025-09-30T18:30:06.7772709Z,2,54
2025-09-30T18:30:06.8126133Z,0,00
2025-09-30T18:30:06.8405966Z,1,00
2025-09-30T18:30:06.9177553Z,1,00
2025-09-30T18:30:06.9447817Z,1,01
2025-09-30T18:30:06.9780796Z,1,01
2025-09-30T18:30:07.0058050Z,1,51
2025-09-30T18:30:07.0529832Z,2,05
2025-09-30T18:30:07.1052553Z,0,00
2025-09-30T18:30:07.1392264Z,2,55
2025-09-30T18:30:07.1941328Z,3,04
2025-09-30T18:30:07.2369290Z,1,00
2025-09-30T18:30:07.2748282Z,1,51
2025-09-30T18:30:07.3147444Z,2,02
2025-09-30T18:30:07.3514130Z,0,00
2025-09-30T18:30:07.3782857Z,1,52
2025-09-30T18:30:07.4238430Z,1,02
2025-09-30T18:30:07.4887292Z,0,00
2025-09-30T18:30:07.5246826Z,2,26
2025-09-30T18:30:07.5560896Z,1,57
2025-09-30T18:30:07.5960893Z,3,04
2025-09-30T18:30:07.6838267Z,1,54
2025-09-30T18:30:07.7187935Z,1,01
2025-09-30T18:30:07.7617633Z,1,02
2025-09-30T18:30:07.8027033Z,3,02
2025-09-30T18:30:07.8594298Z,1,52
2025-09-30T18:30:07.8918044Z,1,01
2025-09-30T18:30:07.9195963Z,1,02
2025-09-30T18:30:07.9898382Z,2,03
2025-09-30T18:30:08.0207115Z,1,01
2025-09-30T18:30:08.0638432Z,3,60
2025-09-30T18:30:08.0905594Z,1,51
2025-09-30T18:30:08.1617412Z,1,00
2025-09-30T18:30:08.2002931Z,1,00
2025-09-30T18:30:08.2368473Z,0,99
2025-09-30T18:30:08.3024836Z,1,02
2025-09-30T18:30:08.3446185Z,2,02
2025-09-30T18:30:08.3741213Z,1,52
2025-09-30T18:30:08.4535828Z,4,18
2025-09-30T18:30:08.4874794Z,1,00
2025-09-30T18:30:08.5321767Z,0,00
2025-09-30T18:30:08.5580126Z,1,15
2025-09-30T18:30:08.6203767Z,12,23
2025-09-30T18:30:08.6575989Z,1,01
2025-09-30T18:30:08.6930483Z,3,51
2025-09-30T18:30:08.7575298Z,2,55
2025-09-30T18:30:08.8106935Z,11,10
2025-09-30T18:30:08.8399915Z,1,00
2025-09-30T18:30:08.8702057Z,2,00
2025-09-30T18:30:08.9441623Z,2,56
2025-09-30T18:30:08.9736318Z,1,01
2025-09-30T18:30:09.0036088Z,0,00
2025-09-30T18:30:09.0436892Z,1,00
2025-09-30T18:30:09.1117935Z,1,54
2025-09-30T18:30:09.1404993Z,1,01
2025-09-30T18:30:09.1764573Z,4,06
2025-09-30T18:30:09.2107623Z,3,14
2025-09-30T18:30:09.2795984Z,0,00
2025-09-30T18:30:09.3074921Z,0,64
2025-09-30T18:30:09.3414897Z,3,05
2025-09-30T18:30:09.3824117Z,3,53
2025-09-30T18:30:09.4197349Z,1,02
2025-09-30T18:30:09.4763280Z,2,54
2025-09-30T18:30:09.5144217Z,1,01
2025-09-30T18:30:09.5430817Z,1,50
2025-09-30T18:30:09.6398928Z,1,01
2025-09-30T18:30:09.6782238Z,1,00
2025-09-30T18:30:09.7076417Z,1,00
2025-09-30T18:30:09.7404279Z,1,00
2025-09-30T18:30:09.8071082Z,2,63
2025-09-30T18:30:09.8397179Z,1,01
2025-09-30T18:30:09.8807424Z,2,51
2025-09-30T18:30:09.9094199Z,0,00
2025-09-30T18:30:09.9881601Z,2,00
2025-09-30T18:30:10.0094089Z,0,00
2025-09-30T18:30:10.0432975Z,2,56
2025-09-30T18:30:10.0938259Z,2,04
2025-09-30T18:30:10.1716259Z,2,52
2025-09-30T18:30:10.1943071Z,1,00
2025-09-30T18:30:10.2417175Z,1,03
2025-09-30T18:30:10.2753070Z,3,03
2025-09-30T18:30:10.3446853Z,1,99
2025-09-30T18:30:10.3799158Z,0,00
2025-09-30T18:30:10.4098009Z,1,97
2025-09-30T18:30:10.4439872Z,2,99
2025-09-30T18:30:10.4834408Z,1,02
2025-09-30T18:30:10.5356416Z,2,12
